Stock;;;;;
idProveedor;idProducto;stock;stockCritico;stockMaximo;precioCosto
unsigned int;unsigned int;unsigned unsigned int;;unsigned int;float
33;1;357;213;723;6627,43
21;2;344;238;719;9679,38
36;3;325;258;631;7525,17
47;4;442;293;509;5558,53
14;5;498;209;664;3105,08
7;6;309;205;782;9841,52
44;7;408;267;788;1121,05
40;8;473;221;647;1697,68
42;9;390;247;745;2860,51
5;10;316;273;640;361,34
23;11;460;252;549;326,72
33;12;357;238;553;6174,28
11;13;492;213;666;5162,39
1;14;370;227;838;589,97
37;15;322;252;660;1646,31
49;16;405;284;697;2754,75
28;17;482;210;835;1720,29
48;18;325;283;576;1215,14
42;19;312;238;866;148,86
6;20;458;255;594;5899,97
0,0,0,0,0,0
